Row Labels,Sum of deaths_max,Sum of children
2013-08-08 00:00:00+00,16,0
2013-08-10 00:00:00+00,5,0
2013-08-12 00:00:00+00,2,0
2013-08-30 00:00:00+00,6,0
2013-08-31 00:00:00+00,4,0
2013-09-06 00:00:00+00,7,0
2013-09-22 00:00:00+00,7,0
2013-09-29 00:00:00+00,6,0
2013-09-30 00:00:00+00,4,0
2013-10-28 00:00:00+00,2,0
2013-10-31 00:00:00+00,5,0
2013-11-01 00:00:00+00,25,0
2013-11-19 00:00:00+00,4,0
2013-11-21 00:00:00+00,9,0
2013-11-29 00:00:00+00,3,0
2013-12-09 00:00:00+00,4,0
2013-12-12 00:00:00+00,17,0
2013-12-14 00:00:00+00,9,0
2013-12-25 00:00:00+00,4,0
2013-12-27 00:00:00+00,6,0
2014-01-06 00:00:00+00,2,0
2014-01-08 00:00:00+00,2,0
2014-01-15 00:00:00+00,1,0
2014-01-23 00:00:00+00,5,0
2014-01-26 00:00:00+00,9,0
2014-03-03 00:00:00+00,8,0
2014-03-05 00:00:00+00,4,0
2014-03-10 00:00:00+00,4,1
2014-03-12 00:00:00+00,3,0
2014-04-01 00:00:00+00,3,0
2014-04-19 00:00:00+00,21,0
2014-04-20 00:00:00+00,35,2
2014-05-12 00:00:00+00,6,0
2014-06-04 00:00:00+00,4,0
2014-06-11 00:00:00+00,6,0
2014-06-12 00:00:00+00,10,0
2014-06-14 00:00:00+00,6,0
2014-06-18 00:00:00+00,8,0
2014-08-08 00:00:00+00,0,0
2014-08-09 00:00:00+00,0,0
2014-08-10 00:00:00+00,0,0
2014-08-11 00:00:00+00,0,0
2014-08-12 00:00:00+00,0,0
2014-08-13 00:00:00+00,0,0
2014-08-14 00:00:00+00,0,0
2014-08-15 00:00:00+00,0,0
2014-08-16 00:00:00+00,0,0
2014-08-17 00:00:00+00,0,0
2014-08-18 00:00:00+00,0,0
2014-08-19 00:00:00+00,0,0
2014-08-20 00:00:00+00,0,0
2014-08-21 00:00:00+00,0,0
2014-08-22 00:00:00+00,0,0
2014-08-23 00:00:00+00,0,0
2014-08-24 00:00:00+00,0,0
2014-08-26 00:00:00+00,0,0
2014-08-27 00:00:00+00,0,0
2014-08-28 00:00:00+00,0,0
2014-08-29 00:00:00+00,0,0
2014-08-30 00:00:00+00,0,0
2014-08-31 00:00:00+00,0,0
2014-09-01 00:00:00+00,0,0
2014-09-02 00:00:00+00,0,0
2014-09-03 00:00:00+00,0,0
2014-09-04 00:00:00+00,0,0
2014-09-06 00:00:00+00,0,0
2014-09-07 00:00:00+00,0,0
2014-09-08 00:00:00+00,0,0
2014-09-09 00:00:00+00,0,0
2014-09-10 00:00:00+00,0,0
2014-09-11 00:00:00+00,0,0
2014-09-12 00:00:00+00,0,0
2014-09-13 00:00:00+00,0,0
2014-09-14 00:00:00+00,0,0
2014-09-16 00:00:00+00,0,0
2014-09-17 00:00:00+00,0,0
2014-09-18 00:00:00+00,0,0
2014-09-19 00:00:00+00,0,0
2014-09-20 00:00:00+00,0,0
2014-09-21 00:00:00+00,0,0
2014-09-22 00:00:00+00,0,0
2014-09-23 00:00:00+00,0,0
2014-09-24 00:00:00+00,0,0
2014-09-25 00:00:00+00,0,0
2014-09-26 00:00:00+00,0,0
2014-09-27 00:00:00+00,0,0
2014-09-28 00:00:00+00,0,0
2014-09-29 00:00:00+00,0,0
2014-09-30 00:00:00+00,0,0
2014-10-01 00:00:00+00,0,0
2014-10-02 00:00:00+00,0,0
2014-10-03 00:00:00+00,0,0
2014-10-05 00:00:00+00,0,0
2014-10-06 00:00:00+00,0,0
2014-10-07 00:00:00+00,0,0
