dataset,date,latitude,longitude,deaths_min,deaths_max,children,names,description,source
dronestream,2008-09-12T00:00:00.000Z,33.0021133805,70.0756072998,10,15,0,,"10-15 alleged militants killed in Tol Khel, North Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/
dronestream,2008-09-17T00:00:00.000Z,32.5033919814,69.2845916748,4,7,0,,"4-7 killed including possibly Abu Ubaydh Al Tunisi, identified as a High Value Target in a leaked US intelligence document.",http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/
dronestream,2008-09-30T00:00:00.000Z,32.9686354261,70.353012085,4,8,0,,"4-8 killed, 9 injured in attack on Toorikhel, North Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/
dronestream,2008-10-03T00:00:00.000Z,33.151242,70.434707,3,3,0,,"Two women and a child killed in a strike on two houses in Datta Khel, North Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/
dronestream,2008-10-03T00:00:00.000Z,33.151242,70.434707,21,21,0,,"21 killed including a woman and a child. Datta Khel, North Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/
dronestream,2008-10-09T00:00:00.000Z,32.9942669993,70.1653862,4,9,0,,"4-9 people killed, including women and children.",http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/
dronestream,2008-10-11T00:00:00.000Z,33.0020413985,70.0608444214,4,5,0,,"The house of Rahmat Jahan is attacked killing five and wounding two. Miranshah, North Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/
dronestream,2008-10-16T00:00:00.000Z,32.5413143166,69.8527908325,5,9,0,,"Named al Qaeda leader killed along with 4 militants and 4 civilians. Tapargai, South Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/
dronestream,2008-10-23T00:00:00.000Z,33.0201789992,70.0728607178,7,11,0,,"7-11 killed, possibly including children, in attack on Danda Darpakhel, North Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/
dronestream,2008-10-26T00:00:00.000Z,32.551009443,69.6078300476,15,20,0,,"Failed strike on Haji Omar kills 15-20, including at least four civilians.",http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/
